,Depth
0,0.36360311938875567
1,0.36360311938875567
2,0.35698777974184764
3,0.35007756936572476
4,0.35007756936572476
5,0.35007756936572476
6,0.34283828807824535
7,0.34283828807824535
8,0.34283828807824535
9,0.3352289653894537
10,0.3352289653894537
11,0.3352289653894537
12,0.3312704106075718
13,0.3312704106075718
14,0.3312704106075718
15,0.32719987645202786
16,0.31868975508267966
17,0.31868975508267966
18,0.31423105178375044
19,0.31423105178375044
20,0.30962177216722414
21,0.30962177216722414
22,0.30962177216722414
23,0.3048489027442521
24,0.3048489027442521
25,0.29989754615029557
26,0.29989754615029557
27,0.29475052597525003
28,0.29475052597525003
29,0.2779177634817676
30,0.2779177634817676
31,0.27174935692737073
32,0.27174935692737073
33,0.26524067187707
34,0.26524067187707
35,0.26524067187707
36,0.26524067187707
37,0.26524067187707
38,0.26524067187707
39,0.26524067187707
40,0.25545997926458963
41,0.25545997926458963
42,0.25545997926458963
43,0.25545997926458963
44,0.25545997926458963
45,0.2525010660541365
46,0.2525010660541365
47,0.2525010660541365
48,0.2525010660541365
49,0.2525010660541365
50,0.24946011618650632
51,0.24946011618650632
52,0.24946011618650632
53,0.24946011618650632
54,0.24946011618650632
55,0.24633136211695175
56,0.2380811071408239
57,0.2380811071408239
58,0.2380811071408239
59,0.2380811071408239
60,0.2380811071408239
61,0.2380811071408239
62,0.23458882848791912
63,0.23458882848791912
64,0.23458882848791912
65,0.23458882848791912
66,0.23458882848791912
67,0.23458882848791912
68,0.23279687829784868
69,0.23279687829784868
70,0.23097260396138253
71,0.23097260396138253
72,0.22911454818050786
73,0.22911454818050786
74,0.2272211463856703
75,0.20589431692002194
76,0.2034630117019327
77,0.20096292985941747
78,0.19838913376656692
79,0.1957360974339651
80,0.1957360974339651
81,0.1957360974339651
82,0.1957360974339651
83,0.1957360974339651
84,0.1957360974339651
85,0.1957360974339651
86,0.1957360974339651
87,0.1957360974339651
88,0.1957360974339651
89,0.1957360974339651
90,0.1957360974339651
91,0.1957360974339651
92,0.1957360974339651
93,0.1957360974339651
94,0.1957360974339651
95,0.1957360974339651
96,0.1957360974339651
97,0.1957360974339651
98,0.1957360974339651
99,0.1957360974339651
100,0.1957360974339651
101,0.1957360974339651
102,0.1957360974339651
103,0.1957360974339651
104,0.1957360974339651
105,0.1957360974339651
106,0.1957360974339651
107,0.1957360974339651
108,0.1957360974339651
109,0.1957360974339651
110,0.1957360974339651
111,0.1957360974339651
112,0.1957360974339651
113,0.1957360974339651
114,0.1957360974339651
115,0.1957360974339651
116,0.2150141827089418
117,0.23458882848791912
118,0.23458882848791912
119,0.23458882848791912
120,0.23458882848791912
121,0.23458882848791912
122,0.23458882848791912
123,0.23458882848791912
124,0.23458882848791912
125,0.23458882848791912
126,0.23458882848791912
127,0.23458882848791912
128,0.23458882848791912
129,0.23458882848791912
130,0.23458882848791912
131,0.23458882848791912
132,0.23458882848791912
133,0.25099119158574684
134,0.25099119158574684
135,0.26524067187707
136,0.2893878799019464
137,0.3352289653894536
138,0.4206222750514285
139,0.5920041861690523
140,0.8127330361935035
141,1.0358052515369205
142,1.2297731708390949
143,1.3427987322280932
144,1.3978012589613675
145,1.4122274957955314
146,1.2940393184070178
147,1.3494851874909066
148,1.4387390710756203
149,1.3331116183400444
150,1.2999360382754215
151,1.3061132412910232
152,1.3095161648218905
153,1.3491685110892195
154,1.3739801357430759
155,1.4153561363612654
156,1.4719952724125482
157,1.5077893299347775
158,1.4745820338489042
159,1.4381924356346745
160,1.4285479126600111
161,1.4249271963231016
162,1.3788204826294872
163,1.2410241192981735
164,1.156231123837473
165,1.09162864895634
166,1.0629167427273305
167,1.1028428669977837
168,1.1278761669701445
169,1.1466511377769837
170,1.1475714715574408
171,1.0972687334117228
172,1.0645590968740855
173,1.0623679912093584
174,1.0523768936222
175,1.0512532120567715
176,1.0623679912093584
177,1.1278761669701445
178,1.1787660014209733
179,1.1142927990491718
180,1.0911125776294845
181,1.1665180606365149
182,1.1691675458248219
183,1.1530581266836812
184,1.1123209374447927
185,1.093173503117973
186,1.09214415932635
187,1.0982870624636238
188,1.0753619771188012
189,1.066739871035185
190,1.2444684901618397
191,1.189882553791904
192,1.139226491172511
193,1.1113319820563028
194,1.0523768936222
195,1.1575848650045248
196,1.1539667475124102
197,1.201592825000799
198,1.1656318134474437
199,1.2646882085436
200,1.3440782535322828
201,1.263215847704339
202,1.1856353215686686
203,1.1420237629305587
204,1.1466511377769837
205,1.1718032827902485
206,1.1288320971283743
207,1.0952255240166469
208,1.077492819103056
209,1.0721473739570435
210,1.0764286117354327
211,1.162963723058783
212,1.3592184584225944
